prompt,category
"If a right triangle has legs of length 26 and 113, what is the hypotenuse?",math
Howdy! How are you doing today?,casual_chat
"How was your day? Oh wait, you are an AI!",casual_chat
Explain how the concept of Newtonian mechanics differs from socialism historically.,research
Solve the equation 156t + 47 = {num}.,math
What is the best way to handle exceptions globally in a Laravel app written in C++?,coding
Calculate the integral of 3x^2 + 2x - 5 from 33 to 71.,math
Explain how the concept of GMO crops differs from renewable energy historically.,research
Compare and contrast rationalism and renewable energy.,research
Find the vertex and focus of the parabola defined by y = 17x^2 + 141x.,math
Tell me a story about a programmer who discovered {science_field}.,casual_chat
Show me how to make an asynchronous HTTP GET request in Ruby using Ruby on Rails.,coding
Hi there! How are you doing today?,casual_chat
Write a C++ function to implement run-length encoding compression.,coding
Tell me a story about a programmer who discovered {science_field}.,casual_chat
"Who are you, and what can you help me with?",casual_chat
Can you write a short poem about {poem_subject}?,casual_chat
Explain how the concept of globalization differs from empiricism historically.,research
Show me how to make an asynchronous HTTP GET request in PHP using Gin.,coding
What is your opinion on the future of {science_field}?,casual_chat
Compare and contrast capitalism and Newtonian mechanics.,research
Compare and contrast capitalism and relativity.,research
Explain how the concept of globalization differs from monolithic architecture historically.,research
Compare and contrast monolithic architecture and classical physics.,research
What is the difference between rationalism and democracy in Java?,coding
Yo! How are you doing today?,casual_chat
Good morning! How are you doing today?,casual_chat
Compare and contrast monarchy and digital systems.,research
Explain how the concept of quantum mechanics differs from centralized banking historically.,research
Explain why my JavaScript code is throwing a {error_type}.,coding
Compare and contrast microservices and analog systems.,research
How do I implement a {data_struct} in Java?,coding
Explain how the concept of renewable energy differs from isolationism historically.,research
How do I handle concurrency in Swift using threads and locks?,coding
What is the difference between manual testing and cognitive neuroscience in PHP?,coding
Compare and contrast nuclear power and organic farming.,research
Good afternoon! How are you doing today?,casual_chat
Explain how the concept of unsupervised learning differs from relativity historically.,research
Good afternoon! How are you doing today?,casual_chat
Write a Kotlin function to check if a number is prime.,coding
Compare and contrast GMO crops and socialism.,research
Show me how to make an asynchronous HTTP GET request in Rust using React.,coding
Create a REST API endpoint in Rust using Vue.js.,coding
What is the difference between nuclear power and cognitive neuroscience in Java?,coding
Calculate the integral of 2x^2 - 8x + 6 from 114 to 90.,math
Write a Rust function to find the longest common subsequence of two strings.,coding
"If a right triangle has legs of length 110 and 132, what is the hypotenuse?",math
Explain why my Scala code is throwing a {error_type}.,coding
Find the vertex and focus of the parabola defined by y = 156x^2 + 136x.,math
Tell me a story about a programmer who discovered {science_field}.,casual_chat
Howdy! How are you doing today?,casual_chat
Compare and contrast cognitive neuroscience and nuclear power.,research
Explain how the concept of empiricism differs from classical physics historically.,research
"How was your day? Oh wait, you are an AI!",casual_chat
Compare and contrast unsupervised learning and isolationism.,research
"Who are you, and what can you help me with?",casual_chat
"Who are you, and what can you help me with?",casual_chat
What is your opinion on the future of {science_field}?,casual_chat
Explain how the concept of renewable energy differs from quantum computing historically.,research
Explain how the concept of decentralized finance differs from isolationism historically.,research
"How was your day? Oh wait, you are an AI!",casual_chat
How do I handle concurrency in Go using actors pattern?,coding
Hello! How are you doing today?,casual_chat
What is the best way to handle exceptions globally in a Angular app written in PHP?,coding
What is the difference between centralized banking and monarchy in Haskell?,coding
"If a right triangle has legs of length 182 and 37, what is the hypotenuse?",math
Tell me a story about a programmer who discovered {science_field}.,casual_chat
Compare and contrast centralized banking and classical physics.,research
How do I handle concurrency in JavaScript using goroutines and channels?,coding
Show me how to make an asynchronous HTTP GET request in Scala using React.,coding
"If a right triangle has legs of length 13 and 168, what is the hypotenuse?",math
"Who are you, and what can you help me with?",casual_chat
Compare and contrast democracy and GMO crops.,research
What is the difference between monarchy and rationalism in Swift?,coding
Good afternoon! How are you doing today?,casual_chat
Solve the system of equations: 127x + 98y = {num} and {num}x - {num}y = {num}.,math
Yo! How are you doing today?,casual_chat
How do I implement a {data_struct} in Ruby?,coding
Compare and contrast renewable energy and unsupervised learning.,research
"How was your day? Oh wait, you are an AI!",casual_chat
How do I read a file line by line in Swift?,coding
Explain how the concept of quantum mechanics differs from microservices historically.,research
Explain the concept of memory management in TypeScript.,coding
"How was your day? Oh wait, you are an AI!",casual_chat
Yo! How are you doing today?,casual_chat
Hi! How are you doing today?,casual_chat
Explain how the concept of organic farming differs from GMO crops historically.,research
Simplify the algebraic expression: (3x^2 + 2x - 5) / (x - 194).,math
Explain how the concept of centralized banking differs from globalization historically.,research
Solve the equation 68k + 117 = {num}.,math
Find the limit of {math_func} as k approaches {limit_target}.,math
Compare and contrast nuclear power and monolithic architecture.,research
"If a right triangle has legs of length 71 and 12, what is the hypotenuse?",math
"Hey, let's chat about {chat_topic}.",casual_chat
Tell me a funny joke about {joke_subject}.,casual_chat
Explain how the concept of nuclear power differs from organic farming historically.,research
Explain the concept of memory management in Scala.,coding
How do I handle concurrency in Haskell using async/await tasks?,coding
Show me how to make an asynchronous HTTP GET request in Haskell using Next.js.,coding
Write a Java function to traverse a tree in pre-order.,coding
What is your opinion on the future of {science_field}?,casual_chat
Compare and contrast artificial intelligence and socialism.,research
Explain how the concept of supervised learning differs from unsupervised learning historically.,research
Explain the concept of memory management in C.,coding
"Who are you, and what can you help me with?",casual_chat
Explain how the concept of socialism differs from isolationism historically.,research
"How was your day? Oh wait, you are an AI!",casual_chat
Show me how to make an asynchronous HTTP GET request in Kotlin using Next.js.,coding
What is the difference between centralized banking and cognitive neuroscience in C?,coding
What is the difference between democracy and artificial intelligence in Go?,coding
"How was your day? Oh wait, you are an AI!",casual_chat
What is the best way to handle exceptions globally in a Laravel app written in Scala?,coding
Tell me a story about a programmer who discovered {science_field}.,casual_chat
Compare and contrast isolationism and centralized banking.,research
Tell me a story about a programmer who discovered {science_field}.,casual_chat
Explain how the concept of rationalism differs from GMO crops historically.,research
"Calculate the dot product of vectors [87, 194] and [{num}, {num}].",math
Show me how to make an asynchronous HTTP GET request in Kotlin using Laravel.,coding
Find the vertex and focus of the parabola defined by y = 133x^2 + 32x.,math
Solve the equation 46a + 172 = {num}.,math
Good morning! How are you doing today?,casual_chat
"How was your day? Oh wait, you are an AI!",casual_chat
How do I serialize a JSON object to a string in JavaScript?,coding
Write a Scala function to implement run-length encoding compression.,coding
Compare and contrast globalization and quantum mechanics.,research
Explain how the concept of monarchy differs from artificial intelligence historically.,research
Explain how the concept of unsupervised learning differs from democracy historically.,research
Explain how the concept of capitalism differs from globalization historically.,research
Show me how to make an asynchronous HTTP GET request in JavaScript using Spring Boot.,coding
Show me how to make an asynchronous HTTP GET request in Swift using Laravel.,coding
"How was your day? Oh wait, you are an AI!",casual_chat
Compare and contrast organic farming and centralized banking.,research
Explain how the concept of digital systems differs from GMO crops historically.,research
Evaluate the sum of the geometric series: sum of x^n / n! from 0 to infinity.,math
Simplify the algebraic expression: (2x^3 - 5x + 3) / (b - 31).,math
Explain how the concept of nuclear power differs from socialism historically.,research
Compare and contrast globalization and cognitive neuroscience.,research
Solve the equation 192a + 13 = {num}.,math
Find the limit of {math_func} as z approaches {limit_target}.,math
Hello! How are you doing today?,casual_chat
Find the vertex and focus of the parabola defined by y = 144x^2 + 138x.,math
Create a REST API endpoint in Java using Django.,coding
Solve the system of equations: 94x + 64y = {num} and {num}x - {num}y = {num}.,math
Determine if the series 1 + x + x^2 + x^3 + ... converges or diverges.,math
"How was your day? Oh wait, you are an AI!",casual_chat
Solve the system of equations: 116x + 175y = {num} and {num}x - {num}y = {num}.,math
Solve the equation 162n + 41 = {num}.,math
Good morning! How are you doing today?,casual_chat
Compare and contrast classical physics and capitalism.,research
Compare and contrast digital systems and unsupervised learning.,research
Calculate the integral of x^2 - 2x + 1 from 184 to 82.,math
"How was your day? Oh wait, you are an AI!",casual_chat
Hi! How are you doing today?,casual_chat
Find the vertex and focus of the parabola defined by y = 89x^2 + 103x.,math
Compare and contrast GMO crops and rationalism.,research
What is the best way to handle exceptions globally in a Express.js app written in Ruby?,coding
What is the difference between artificial intelligence and microservices in Python?,coding
Compare and contrast monolithic architecture and rationalism.,research
"If a right triangle has legs of length 18 and 195, what is the hypotenuse?",math
Hello! How are you doing today?,casual_chat
Find the vertex and focus of the parabola defined by y = 113x^2 + 99x.,math
Explain how the concept of isolationism differs from quantum mechanics historically.,research
Calculate the integral of x^3 - 8 from 83 to 64.,math
"How was your day? Oh wait, you are an AI!",casual_chat
What is your opinion on the future of {science_field}?,casual_chat
Good afternoon! How are you doing today?,casual_chat
Explain the concept of memory management in C#.,coding
